name,neighbourhood,latitude,longitude,room_type,minimum_nights,price,price_per_night,number_of_reviews,last_review,reviews_per_month
Private Floor in Vintage Home,Hyde Park,41.79118594,-87.59098877,Private room,1,$75.00,$75.00,6,26/08/2015,0.26
In the heart of Hyde Park,Hyde Park,41.79844715,-87.58922628,Entire home/apt,1,$110.00,$110.00,29,26/04/2017,2.97
Stylish One Bedroom Apt In HydePark,Hyde Park,41.79657689,-87.59258747,Entire home/apt,2,$100.00,$50.00,196,04/05/2017,4.53
Vintage Charm Near the Lakefront,Hyde Park,41.8009855,-87.58577105,Entire home/apt,1,$100.00,$100.00,28,19/04/2017,1.24
"Modern, Downtown Hyde Park 1 BR Apt (SmartHome)",Hyde Park,41.80032009,-87.60472777,Entire home/apt,1,$117.00,$117.00,19,07/05/2017,4.19
LAKE FRONT HYDE PARK,Hyde Park,41.80110722,-87.58637508,Entire home/apt,1,$43.00,$43.00,14,29/04/2017,4.52
Hyde Park Rooms3,Hyde Park,41.80071136,-87.59120322,Private room,2,$45.00,$22.50,43,23/10/2016,1.25
Hyde Park Loft Apartment,Hyde Park,41.79770611,-87.60162592,Entire home/apt,3,$150.00,$50.00,13,02/01/2017,1.31
Private room w/bath in urban canopy,Hyde Park,41.79980218,-87.59381477,Private room,1,$75.00,$75.00,124,28/04/2017,3.72
Large & Charming Private Room,Hyde Park,41.80224726,-87.59256061,Private room,1,$45.00,$45.00,1,28/04/2017,1
Ocean Room UofC Campus,Hyde Park,41.80131416,-87.59908758,Private room,1,$70.00,$70.00,25,15/04/2017,2.53
A Studio with a View,Hyde Park,41.8016732,-87.58727956,Entire home/apt,1,$110.00,$110.00,6,07/05/2017,5.45
Spacious Studio in Hyde Park,Hyde Park,41.79628842,-87.59162372,Entire home/apt,2,$109.00,$54.50,7,05/05/2017,2.36
Hyde Park Free airport pickup car rental Привет 欢迎,Hyde Park,41.79940056,-87.5900515,Private room,1,$95.00,$95.00,9,01/04/2017,0.79
Cacao Room UofC Campus,Hyde Park,41.80079871,-87.59872585,Private room,1,$70.00,$70.00,33,07/05/2017,3.34
Cozy One Bedroom with Porch,Hyde Park,41.79735802,-87.59584842,Entire home/apt,1,$95.00,$95.00,1,01/04/2017,0.75
Sunny Oasis in Historic Hyde Park,Hyde Park,41.80105617,-87.58886864,Entire home/apt,25,$112.00,$4.48,0,,
Matcha Room Hyde Park,Hyde Park,41.80173906,-87.60060315,Private room,1,$70.00,$70.00,49,23/04/2017,4.97
Private Room in Luxury Duplex Apartment,Hyde Park,41.80108804,-87.59862733,Private room,7,$31.00,$4.43,1,29/04/2017,1
"Quiet, sunny Hyde Park room!",Hyde Park,41.80147993,-87.59825401,Private room,2,$55.00,$27.50,15,13/11/2016,0.78
Hyde Park Studio Apt ($75/night for 31 days),Hyde Park,41.80097539,-87.59214622,Entire home/apt,7,$85.00,$12.14,3,03/05/2017,3
