name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
ModLuxe 2 bks to U of Chicago歡迎 أهلا بكस्वागत हे,41.78094973,-87.59965878,Entire home/apt,140,30,0,,
The University of Chicago Campus!,41.78406755,-87.59616776,Private room,75,1,17,01/05/2017,1.18
(3) 3 Blks to Univ of Chicago歡迎 أهلا بك स्वागत हे,41.78283345,-87.60882302,Private room,40,3,2,07/04/2017,0.16
"XTRA Large 2bdrm 2bath in the City near ""El"" Train",41.7819163,-87.60627127,Entire home/apt,72,2,60,19/03/2017,2.77
Sydni Suites near the University of Chgo 2-bdrm.,41.77799933,-87.58835908,Entire home/apt,114,3,15,07/05/2017,1.20
(1EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78180856,-87.59970771,Private room,40,2,8,15/04/2017,1.40
5min walk to UnivOfChgo. Modern LUXE,41.78411742,-87.60638045,Private room,45,2,17,29/04/2017,2.13
Spacious and Comfortable w/ convenient city access,41.7846593,-87.61406517,Entire home/apt,125,1,3,21/02/2017,1.02
Private BR;Parking by UofC/HydePark,41.7769869,-87.59742135,Private room,49,1,54,05/05/2017,2.40
(1EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78370405,-87.6062272,Private room,40,2,6,16/04/2017,1.01
1BR/Full Bath near U of Chicago,41.77891556,-87.59886221,Private room,59,1,158,05/05/2017,4.03
5min walk to UnivOfChicago. MODERN LUXE,41.78339121,-87.60698448,Private room,48,2,24,22/04/2017,2.98
(3EV) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.7827906,-87.60620954,Private room,40,2,3,19/03/2017,0.76
AFFORDABLE 6bed/3bath URBAN LUXURY,41.78095435,-87.60524144,Entire home/apt,301,2,7,26/04/2017,0.84
(2EL) 2Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78026783,-87.60134164,Private room,40,2,3,08/04/2017,1.96
This Old House Hyde Park near U Chicago (Historic),41.78371873,-87.61130604,Private room,37,2,1,24/04/2017,1.00
Cozy guest room 1 block from U of C,41.7839692,-87.59720997,Private room,60,1,140,05/05/2017,7.28
5min walk to UofC.Willkommen欢迎. أهلاً و سهلاً,41.78173967,-87.60638411,Private room,45,3,22,21/04/2017,2.82
5min walk to UnivOfChicago. Modern LUXE,41.78294856,-87.60731397,Private room,45,2,16,29/04/2017,1.99
Cozy 2 Bedroom Private Level,41.78244177,-87.61327959,Private room,62,1,69,25/03/2017,3.10
5min walk to UnivOfChgo. MODERN Luxe,41.78301184,-87.60742013,Private room,45,3,23,30/04/2017,2.89
ModLuxe 3 bks to U of Chicago歡迎 أهلا بكस्वागत हे,41.78344455,-87.60731164,Entire home/apt,150,3,0,,
Just Like Home,41.78265691,-87.59912436,Entire home/apt,120,1,69,30/04/2017,4.73
Sydni Suites near University of Chicago 1-bdrm.,41.7778495,-87.58815962,Entire home/apt,72,3,27,30/04/2017,2.38
Sydni Suites near the University of Chicago 2-bdrm,41.77652925,-87.58741107,Entire home/apt,114,3,12,25/10/2016,1.00
A Stone's Throw from the UoC,41.78326904,-87.60307135,Private room,65,1,14,23/04/2017,2.56
Cozy Bright 2BD condo 15min drive from downtown,41.77455592,-87.58712835,Entire home/apt,110,1,3,30/03/2017,0.43
Cozy Little Paradise,41.78469556,-87.59608221,Entire home/apt,120,7,0,,
Private Rooftop Deck Getaway,41.77721197,-87.59901452,Private room,85,1,7,18/03/2017,0.61
(1) 3 Blks to Univ of Chicago歡迎 أهلا بكस्वागत हे,41.78499837,-87.60938798,Private room,40,2,6,01/05/2017,1.02
Private Furnished Hyde Park Room,41.77647159,-87.59874426,Private room,55,1,13,18/09/2016,0.56
(2) 3 Blks to Univ of Chicago歡迎 أهلا بك स्वागत हे,41.78415056,-87.61065843,Private room,40,2,10,09/04/2017,0.88
Cool & Relaxing Private Room,41.77607146,-87.59812849,Private room,55,2,8,23/03/2017,0.17
"Private Rooms near UofChicago, Greenline, and Lake",41.78095525,-87.60775831,Private room,50,2,11,21/04/2017,1.03
A Uof C Graduate's Home,41.78289818,-87.59141237,Private room,36,2,13,04/05/2017,3.25
Beautiful 3-bedroom Apt Woodlawn/Hyde Park Area,41.782476,-87.61196112,Entire home/apt,99,1,0,,
This Old House near U Chicago (Historic) #2,41.78420915,-87.61142615,Private room,33,2,0,,
Sydni Suites near the University of Chicago 1-bdrm,41.77674677,-87.58825855,Entire home/apt,99,3,0,,
(M) 3 Blks to Univ of Chicago歡迎 أهلا بك स्वागत हे,41.78332287,-87.60907883,Private room,45,2,4,07/04/2017,0.72
En-suite near UChicago,41.78100322,-87.59646335,Private room,35,2,16,27/04/2017,3.64
